Topics,Alpha,Decay,Chunksize,Passes,Coherence
6,asymmetric,0.6000000000000001,2000,5,0.4829310635309942
6,asymmetric,0.6000000000000001,2000,10,0.4299699419165249
6,asymmetric,0.6000000000000001,2500,1,0.5188019078992405
6,asymmetric,0.6000000000000001,2500,5,0.5036195504565233
6,asymmetric,0.6000000000000001,2500,10,0.4842322651140132
6,asymmetric,0.7000000000000002,1500,1,0.48643717165828787
6,asymmetric,0.7000000000000002,1500,5,0.4888727477027568
6,asymmetric,0.7000000000000002,1500,10,0.4875519707566958
6,asymmetric,0.7000000000000002,2000,1,0.5076196861924007
6,asymmetric,0.7000000000000002,2000,5,0.486886747604592
6,asymmetric,0.7000000000000002,2000,10,0.43952718812382624
6,asymmetric,0.7000000000000002,2500,1,0.5134057734876588
6,asymmetric,0.7000000000000002,2500,5,0.48213966487459303
6,asymmetric,0.7000000000000002,2500,10,0.49603138714748085
7,0.01,0.3,1500,1,0.5053769494279049
7,0.01,0.3,1500,5,0.48257986789070795
7,0.01,0.3,1500,10,0.4805148135587593
7,0.01,0.3,2000,1,0.4951329238109132
7,0.01,0.3,2000,5,0.4804074949032889
7,0.01,0.3,2000,10,0.4702268005947031
7,0.01,0.3,2500,1,0.5029632968567738
7,0.01,0.3,2500,5,0.47903658953366207
7,0.01,0.3,2500,10,0.4605782060111339
7,0.01,0.4,1500,1,0.5166849426545873
7,0.01,0.4,1500,5,0.47470239574748024
7,0.01,0.4,1500,10,0.477635388791912
7,0.01,0.4,2000,1,0.5153418456511154
7,0.01,0.4,2000,5,0.47064332402709713
7,0.01,0.4,2000,10,0.4740764331711615
7,0.01,0.4,2500,1,0.5060383557773366
7,0.01,0.4,2500,5,0.49458103458898706
7,0.01,0.4,2500,10,0.48449757436493995
7,0.01,0.5,1500,1,0.5245690879573376
7,0.01,0.5,1500,5,0.4788655471161606
7,0.01,0.5,1500,10,0.4761167194362272
7,0.01,0.5,2000,1,0.5100680169320974
7,0.01,0.5,2000,5,0.46547493208584273
7,0.01,0.5,2000,10,0.4527842685758161
7,0.01,0.5,2500,1,0.52251203252039
7,0.01,0.5,2500,5,0.4953893077157668
7,0.01,0.5,2500,10,0.4762379742411481
7,0.01,0.6000000000000001,1500,1,0.5156209956437923
7,0.01,0.6000000000000001,1500,5,0.4757266766455356
7,0.01,0.6000000000000001,1500,10,0.4762112822293778
7,0.01,0.6000000000000001,2000,1,0.5191056841540298
7,0.01,0.6000000000000001,2000,5,0.4840239381516965
7,0.01,0.6000000000000001,2000,10,0.47310902436075253
7,0.01,0.6000000000000001,2500,1,0.5236703961480752
7,0.01,0.6000000000000001,2500,5,0.5047433432768038
7,0.01,0.6000000000000001,2500,10,0.479966605719203
7,0.01,0.7000000000000002,1500,1,0.5007426506895325
7,0.01,0.7000000000000002,1500,5,0.48818277594703724
7,0.01,0.7000000000000002,1500,10,0.48364400911420635
7,0.01,0.7000000000000002,2000,1,0.5044804419515975
7,0.01,0.7000000000000002,2000,5,0.4817052935626961
7,0.01,0.7000000000000002,2000,10,0.47693242241905776
7,0.01,0.7000000000000002,2500,1,0.5298916317473995
7,0.01,0.7000000000000002,2500,5,0.5004745279022518
7,0.01,0.7000000000000002,2500,10,0.4874964166623606
7,0.31,0.3,1500,1,0.4928092316856811
7,0.31,0.3,1500,5,0.47228570479837245
7,0.31,0.3,1500,10,0.4792887255440614
7,0.31,0.3,2000,1,0.4925472842929029
7,0.31,0.3,2000,5,0.48755984069573627
7,0.31,0.3,2000,10,0.47987341657043775
7,0.31,0.3,2500,1,0.4977334368515198
7,0.31,0.3,2500,5,0.47155702366579766
7,0.31,0.3,2500,10,0.4598421094480743
7,0.31,0.4,1500,1,0.5136474184985792
7,0.31,0.4,1500,5,0.4800039887814736
7,0.31,0.4,1500,10,0.44996425381776095
7,0.31,0.4,2000,1,0.5095068096143643
