Topics,Alpha,Decay,Chunksize,Passes,Coherence
6,symmetric,0.1,500,1,0.5155403640842516
6,symmetric,0.2,100,1,0.5203546806918778
6,symmetric,0.2,300,1,0.4984318881449083
6,symmetric,0.2,500,1,0.5168171369339603
6,asymmetric,0.1,100,1,0.49094768664332683
6,asymmetric,0.1,300,1,0.5483741020083316
6,asymmetric,0.1,500,1,0.49940796624243206
6,asymmetric,0.2,100,1,0.550086344954403
6,asymmetric,0.2,300,1,0.5352939037549657
6,asymmetric,0.2,500,1,0.47117697289996524
7,0.5,0.1,100,1,0.5609814163110395
7,0.5,0.1,300,1,0.5351674253686743
7,0.5,0.1,500,1,0.5223008851612713
7,0.5,0.2,100,1,0.5270913991474308
7,0.5,0.2,300,1,0.4948795757639548
7,0.5,0.2,500,1,0.5075082058484395
7,0.6,0.1,100,1,0.5182138622248303
7,0.6,0.1,300,1,0.5183246454913766
7,0.6,0.1,500,1,0.5595194303021623
7,0.6,0.2,100,1,0.5089687994275639
7,0.6,0.2,300,1,0.4956794743036248
7,0.6,0.2,500,1,0.5150351714105252
7,0.7,0.1,100,1,0.542240614499045
7,0.7,0.1,300,1,0.5247695292098218
7,0.7,0.1,500,1,0.5640038172722825
7,0.7,0.2,100,1,0.5259919755217403
7,0.7,0.2,300,1,0.5074458784065088
7,0.7,0.2,500,1,0.5238302085680205
7,0.7999999999999999,0.1,100,1,0.5290049075137954
7,0.7999999999999999,0.1,300,1,0.5401917817972003
7,0.7999999999999999,0.1,500,1,0.5523125457326054
7,0.7999999999999999,0.2,100,1,0.5322043192184339
7,0.7999999999999999,0.2,300,1,0.5204977944511918
7,0.7999999999999999,0.2,500,1,0.5110150155040176
7,0.8999999999999999,0.1,100,1,0.5618229444093809
7,0.8999999999999999,0.1,300,1,0.5515119744815268
7,0.8999999999999999,0.1,500,1,0.49867240096250354
7,0.8999999999999999,0.2,100,1,0.5408853648076357
7,0.8999999999999999,0.2,300,1,0.5467920021199826
7,0.8999999999999999,0.2,500,1,0.48773874909610193
7,symmetric,0.1,100,1,0.5570176753341988
7,symmetric,0.1,300,1,0.5164079176095802
7,symmetric,0.1,500,1,0.5412875485913916
7,symmetric,0.2,100,1,0.5206738101745184
7,symmetric,0.2,300,1,0.5234953335464101
7,symmetric,0.2,500,1,0.5269056455036187
7,asymmetric,0.1,100,1,0.528505554190446
7,asymmetric,0.1,300,1,0.4747540585799118
7,asymmetric,0.1,500,1,0.4499665828972613
7,asymmetric,0.2,100,1,0.4917357342025794
7,asymmetric,0.2,300,1,0.43656659512307333
7,asymmetric,0.2,500,1,0.4040669365243074
